1986_LST,1990_LST,2017_LST,NDBI_1986,NDBI_1990,NDBI_2017,NDLI_1986,NDLI_1990,NDLI_2017,NDVI_1986,NDVI_1990,NDVI_2017,,,LST,1986,1990,2017
25.311,22.037,27.233,-0.084,-0.042,0.059,0.025,0.016,-0.010,0.568,0.466,0.487,,,,,,
27.341,22.951,27.049,0.223,-0.022,-0.031,-0.035,-0.003,-0.016,0.270,0.417,0.503,,,,,,
25.591,23.872,28.390,0.007,0.003,0.135,-0.028,-0.011,-0.050,0.376,0.308,0.262,,,,,,
28.115,25.125,28.156,0.062,0.022,-0.019,0.003,-0.005,-0.004,0.461,0.441,0.540,,,,,,
24.680,23.831,25.746,-0.043,0.045,-0.066,-0.001,-0.005,-0.001,0.459,0.416,0.554,,,,,,
24.317,23.441,27.895,0.146,0.055,0.130,-0.033,-0.027,-0.061,0.274,0.270,0.249,,,,,,
25.583,23.826,27.581,0.073,0.009,-0.116,-0.014,-0.015,0.018,0.395,0.425,0.615,,,,,,
26.060,24.760,27.425,0.224,0.135,-0.025,-0.067,-0.037,-0.013,0.206,0.221,0.452,,,,,,
25.548,23.828,28.587,-0.033,-0.074,0.192,0.005,-0.007,-0.061,0.460,0.422,0.249,,,,,,
27.716,23.349,25.744,-0.006,-0.072,-0.033,0.002,-0.004,-0.008,0.415,0.488,0.493,,,,,,
25.130,22.985,26.351,0.003,0.119,0.085,-0.010,-0.014,-0.057,0.434,0.332,0.345,,,,,,
29.031,25.194,28.571,0.185,0.132,0.076,-0.030,-0.045,-0.046,0.297,0.220,0.326,,,,,,
25.574,24.292,27.190,0.111,0.087,-0.063,-0.001,-0.007,-0.001,0.412,0.365,0.562,,,,,,
24.715,24.263,27.134,-0.002,-0.078,0.074,-0.008,0.009,-0.023,0.396,0.427,0.412,,,,,,
25.582,23.385,27.751,0.011,-0.019,0.061,-0.014,0.001,-0.020,0.397,0.430,0.369,,,,,,
27.324,26.058,29.178,0.121,0.081,0.095,-0.011,-0.045,-0.049,0.338,0.236,0.231,,,,,,
25.576,23.376,27.214,0.035,-0.004,-0.008,0.013,0.027,-0.014,0.408,0.445,0.484,,,,,,
26.487,24.755,30.682,0.301,0.277,0.304,-0.044,-0.038,-0.062,0.253,0.262,0.179,,,,,,
25.124,22.543,26.369,-0.008,-0.037,0.121,-0.002,-0.022,-0.047,0.443,0.333,0.289,,,,,,
27.725,23.795,27.186,0.040,-0.066,0.025,-0.027,0.017,-0.028,0.398,0.478,0.460,,,,,,
28.193,23.399,28.636,0.160,0.032,0.136,-0.021,-0.001,-0.024,0.260,0.401,0.303,,,,,,
24.241,22.947,27.076,-0.006,0.021,-0.147,0.013,-0.001,0.013,0.464,0.424,0.624,,,,,,
25.634,23.866,28.066,-0.027,-0.083,0.098,0.011,0.004,-0.042,0.558,0.510,0.355,,,,,,
25.124,25.161,27.118,0.053,0.031,0.070,0.002,-0.012,-0.029,0.444,0.369,0.439,,,,,,
25.364,21.836,25.881,-0.489,-0.274,-0.306,-0.006,0.043,-0.007,-0.029,0.052,-0.058,,,,,,
23.795,22.048,26.689,-0.083,-0.050,-0.211,-0.010,-0.014,0.022,0.477,0.449,0.690,,,,,,
26.453,22.978,27.203,0.071,0.030,0.027,-0.021,-0.021,-0.031,0.376,0.356,0.411,,,,,,
24.716,22.054,26.287,0.093,-0.040,-0.234,-0.009,0.042,0.021,0.393,0.437,0.668,,,,,,
25.603,24.295,28.212,0.038,-0.037,0.125,-0.014,-0.021,-0.049,0.345,0.356,0.271,,,,,,
25.093,22.483,27.125,-0.029,-0.056,-0.177,0.027,-0.001,0.025,0.493,0.462,0.683,,,,,,
25.148,22.492,27.497,-0.107,-0.053,0.017,0.014,0.008,-0.024,0.507,0.447,0.405,,,,,,
24.239,22.056,26.505,-0.008,-0.098,-0.246,0.003,0.007,0.019,0.467,0.433,0.645,,,,,,
27.758,23.413,27.834,0.209,0.036,0.127,-0.016,-0.013,-0.049,0.308,0.370,0.319,,,,,,
26.853,22.042,27.132,0.025,-0.127,-0.138,-0.007,0.007,0.003,0.435,0.457,0.570,,,,,,
24.908,23.358,25.684,-0.144,-0.108,-0.004,0.014,0.023,0.004,0.528,0.550,0.549,,,,,,
27.132,22.685,26.598,-0.155,-0.072,-0.192,0.026,0.017,0.013,0.576,0.526,0.627,,,,,,
26.395,22.994,26.898,0.007,0.170,0.116,0.002,-0.029,-0.033,0.482,0.301,0.328,,,,,,
24.824,22.948,25.751,-0.140,0.008,-0.071,0.012,-0.008,-0.008,0.564,0.422,0.577,,,,,,
27.282,24.730,29.000,0.118,0.130,0.151,-0.014,-0.014,-0.043,0.431,0.359,0.308,,,,,,
28.197,22.905,26.286,0.077,-0.081,0.011,0.016,0.001,-0.001,0.208,0.494,0.452,,,,,,
26.859,23.879,28.191,0.085,0.094,0.192,0.004,-0.039,-0.064,0.423,0.277,0.234,,,,,,
26.020,25.189,27.805,0.109,0.141,0.137,-0.008,-0.039,-0.052,0.384,0.272,0.269,,,,,,
28.612,22.975,28.423,0.150,0.056,0.037,0.002,0.011,-0.025,0.284,0.362,0.329,,,,,,
26.389,25.163,29.893,-0.046,0.076,0.249,0.003,-0.007,-0.072,0.501,0.364,0.199,,,,,,
26.410,23.402,26.946,0.060,0.050,0.127,-0.009,-0.017,-0.040,0.458,0.395,0.326,,,,,,
26.481,23.879,28.391,0.115,0.070,0.201,-0.036,-0.033,-0.051,0.290,0.277,0.227,,,,,,
25.526,22.072,26.189,-0.064,-0.064,0.056,-0.008,-0.019,-0.033,0.492,0.401,0.365,,,,,,
25.004,23.883,25.381,-0.132,0.186,0.085,-0.023,-0.035,-0.041,0.180,0.247,0.284,,,,,,
26.000,23.418,26.927,-0.055,0.006,0.058,-0.006,-0.018,-0.043,0.424,0.356,0.326,,,,,,
28.180,24.313,27.381,0.145,0.140,0.211,-0.028,-0.030,-0.053,0.320,0.296,0.314,,,,,,
25.129,22.517,26.612,0.045,-0.116,0.007,-0.002,-0.005,-0.041,0.436,0.400,0.363,,,,,,
